type,name,res_id,src,value,fuzzy
error,timesheet.line,0,Hours field must be positive,El campo Horas debe ser positivo,0
error,timesheet.work,0,You can not create recursive works!,No puede crear trabajos recursivos!,0
field,"timesheet.enter_lines.init,date",0,Date,Fecha,0
field,"timesheet.enter_lines.init,employee",0,Employee,Empleado,0
field,"timesheet.hours_employee,employee",0,Employee,Empleado,0
field,"timesheet.hours_employee,hours",0,Hours,Horas,0
field,"timesheet.hours_employee_monthly,employee",0,Employee,Empleado,0
field,"timesheet.hours_employee_monthly,hours",0,Hours,Horas,0
field,"timesheet.hours_employee_monthly,month",0,Month,Mes,0
field,"timesheet.hours_employee_monthly,year",0,Year,Año,0
field,"timesheet.hours_employee_weekly,employee",0,Employee,Empleado,0
field,"timesheet.hours_employee_weekly,hours",0,Hours,Horas,0
field,"timesheet.hours_employee_weekly,week",0,Week,Semana,0
field,"timesheet.hours_employee_weekly,year",0,Year,Año,0
field,"timesheet.line,date",0,Date,Fecha,0
field,"timesheet.line,description",0,Description,Descripción,0
field,"timesheet.line,employee",0,Employee,Empleado,0
field,"timesheet.line,hours",0,Hours,Horas,0
field,"timesheet.line,work",0,Work,Trabajo,0
field,"timesheet.open_hours_employee.init,end_date",0,End Date,Fecha Final,0
field,"timesheet.open_hours_employee.init,start_date",0,Start Date,Fecha Inicial,0
field,"timesheet.work,active",0,Active,Activo,0
field,"timesheet.work,childs",0,Childs,Hij@s,0
field,"timesheet.work,complete_name",0,Name,Nombre,0
field,"timesheet.work,hours",0,Hours,Horas,0
field,"timesheet.work,name",0,Name,Nombre,0
field,"timesheet.work.open.init,from_date",0,From Date,Fecha Inicial,0
field,"timesheet.work.open.init,to_date",0,To Date,A la Fecha,0
field,"timesheet.work,parent",0,Parent,Padre,0
field,"timesheet.work,state",0,State,Estado,0
field,"timesheet.work,type",0,Type,Tipo,0
model,"ir.action,name",act_enter_lines,Enter Timesheet,Adicionar Hoja de Tiempo,0
model,"ir.action,name",act_hours_employee_form,Hours per Employee,Horas por Empleado,0
model,"ir.action,name",act_open_hours_employee,Hours per Employee,Horas por Empleado,0
model,"ir.action,name",act_hours_employee_monthly_form,Hours per Employee per Month,Horas por Empleado en el mes,0
model,"ir.action,name",act_hours_employee_weekly_form,Hours per Employee per Week,Horas por Empleado en la semana,0
model,"ir.action,name",act_open_work,Hours per Work,Horas por Trabajo,0
model,"ir.action,name",act_work_form2,Hours per Work,Horas por Trabajo,0
model,"ir.action,name",act_open_work2,Hours per Work,Horas por Trabajo,0
model,"ir.action,name",act_work_form3,Hours per Work,Horas por Trabajo,0
model,"ir.action,name",act_open_work_graph,Hours per Work,Horas por Trabajo,0
model,"ir.action,name",act_line_form,Timesheet Lines,Lineas de Hoja de Tiempo,0
model,"ir.action,name",act_work_form,Works,Trabajos,0
model,"ir.action,name",act_work_tree,Works,Trabajos,0
model,"ir.action,name",act_work_tree2,Works,Trabajos,0
model,"ir.ui.menu,name",menu_configuration,Configuration,Configuración,0
model,"ir.ui.menu,name",menu_enter_lines,Enter Timesheet,Adicionar Hoja de Tiempo,0
model,"ir.ui.menu,name",menu_open_hours_employee,Hours per Employee,Horas por Empleado,0
model,"ir.ui.menu,name",menu_open_hours_employee_monthly,Hours per Employee per Month,Horas por Empleado en el mes,0
model,"ir.ui.menu,name",menu_open_hours_employee_weekly,Hours per Employee per Week,Horas por Empleado en la semana,0
model,"ir.ui.menu,name",menu_work_tree2,Hours per Work,Horas por Trabajo,0
model,"ir.ui.menu,name",menu_work_form2,Hours per Work,Horas por Trabajo,0
model,"ir.ui.menu,name",menu_reporting,Reporting,Reportes,0
model,"ir.ui.menu,name",menu_line_form,Timesheet Lines,Lineas de Hoja de Tiempo,0
model,"ir.ui.menu,name",menu_timesheet,Timesheet Management,Hoja de Tiempo,0
model,"ir.ui.menu,name",menu_work_form,Works,Trabajos,0
model,"ir.ui.menu,name",menu_work_tree,Works,Trabajos,0
selection,"timesheet.work,state",0,Closed,Cerrado,0
selection,"timesheet.work,state",0,Opened,Abierto,0
selection,"timesheet.work,type",0,Normal,Normal,0
selection,"timesheet.work,type",0,View,Vista,0
view,timesheet.enter_lines.init,0,Enter Timesheet,Adicionar Hoja de Tiempo,0
view,timesheet.hours_employee,0,Hours,Horas,0
view,timesheet.hours_employee,0,Hours per Employee,Horas por Empleado,0
view,timesheet.hours_employee_monthly,0,Hours per Employee per Month,Horas por Empleado en el mes,0
view,timesheet.hours_employee_weekly,0,Hours per Employee per Week,Horas por Empleado en la semana,0
view,timesheet.line,0,Hours,Horas,0
view,timesheet.line,0,Timesheet Line,Linea de Hoja de Tiempo,0
view,timesheet.line,0,Timesheet Lines,Lineas de Hoja de Tiempo,0
view,timesheet.open_hours_employee.init,0,Hours per Employee,Horas por Empleado,0
view,timesheet.work,0,Hours per Work,Horas por Trabajo,0
view,timesheet.work,0,Work,Trabajo,0
view,timesheet.work,0,Works,Trabajos,0
view,timesheet.work.open.init,0,Hours per Work,Horas por Trabajo,0
wizard_button,"timesheet.enter_lines,init,end",0,Cancel,Cancelar,0
wizard_button,"timesheet.enter_lines,init,enter",0,Enter,Entrar,0
wizard_button,"timesheet.open_hours_employee,init,end",0,Cancel,Cancelar,0
wizard_button,"timesheet.open_hours_employee,init,open",0,Open,Abrir,0
wizard_button,"timesheet.work.open2,init,end",0,Cancel,Cancelar,0
wizard_button,"timesheet.work.open2,init,open",0,Open,Abrir,0
wizard_button,"timesheet.work.open,init,end",0,Cancel,Cancelar,0
wizard_button,"timesheet.work.open,init,open",0,Open,Abrir,0
