type,name,res_id,src,value,fuzzy
field,"stock.inventory.create.init,categories",0,Categories,Categorías,1
field,"stock.inventory.create.init,company",0,Company,Compañía,1
field,"stock.inventory.create.init,date",0,Date,Fecha,1
field,"stock.inventory.create.init,locations",0,Locations,Lugares,1
field,"stock.inventory.create.init,lost_found",0,Lost and Found,Perdido y Encontrado,1
field,"stock.inventory.create.init,products",0,Products,Productos,1
model,"ir.action,name",wizard_create_inventory,Create Inventories,Crear Inventarios,0
model,"ir.ui.menu,name",menu_create_inventory,Create Inventories,Crear Inventarios,0
model,"stock.inventory.create.init,name",0,Create Inventories Init,Inicio de Creación de Inventarios,0
view,stock.inventory.create.init,0,Categories,Categorías,1
view,stock.inventory.create.init,0,Create Inventories,Crear Inventarios,0
view,stock.inventory.create.init,0,Locations,Lugares,1
view,stock.inventory.create.init,0,Products,Productos,1
wizard_button,"stock.inventory.create,init,create",0,Create,Crear,1
wizard_button,"stock.inventory.create,init,end",0,Cancel,Cancelar,1
